group,date,monthly_return
Lo_10,201705,2.55
Lo_10,201706,0.13
Lo_10,201707,2.07
Lo_10,201708,0.53
Lo_10,201709,2.37
Lo_10,201710,2.89
Lo_10,201711,4.29
Lo_10,201712,1.32
Lo_10,201801,9.57
Lo_10,201802,-2.51
Lo_10,201803,-2.02
Lo_10,201804,0.6
Lo_10,201805,3.56
Lo_10,201806,1.57
Lo_10,201807,3.46
Lo_10,201808,6.3
Lo_10,201809,1
Lo_10,201810,-11.11
Lo_10,201811,3.2
Lo_10,201812,-8.17
Lo_10,201901,8.87
Lo_10,201902,4.52
Lo_10,201903,2.92
Lo_10,201904,4.1
Lo_10,201905,-6.16
Lo_10,201906,6.72
Lo_10,201907,1.25
Lo_10,201908,0.35
Lo_10,201909,-1.21
Lo_10,201910,2.15
Lo_10,201911,4.39
Lo_10,201912,2.6
Lo_10,202001,3.5
Lo_10,202002,-5.93
Lo_10,202003,-8.61
Lo_10,202004,15.17
Lo_10,202005,6.04
Lo_10,202006,5.79
Lo_10,202007,7.96
Lo_10,202008,12.54
Hi_10,200001,-1.53
Hi_10,200002,3.46
Hi_10,200003,7.18
Hi_10,200004,-5.8
Hi_10,200005,-0.44
Hi_10,200006,3.02
Hi_10,200007,-0.13
Hi_10,200008,5.23
Hi_10,200009,-2.36
Hi_10,200010,2.8
Hi_10,200011,-3.52
Hi_10,200012,5.84
Hi_10,200101,7.89
Hi_10,200102,2.23
Hi_10,200103,-1.41
Hi_10,200104,7.15
Hi_10,200105,5.38
Hi_10,200106,0.6
Hi_10,200107,-0.58
Hi_10,200108,-4.8
Hi_10,200109,-16.51
Hi_10,200110,3.97
Hi_10,200111,10.44
Hi_10,200112,6.19
Hi_10,200201,-0.99
Hi_10,200202,-4.23
Hi_10,200203,10.44
Hi_10,200204,3.03
Hi_10,200205,-1.36
Hi_10,200206,-5.08
Hi_10,200207,-17.04
Hi_10,200208,3.48
Hi_10,200209,-14.32
Hi_10,200210,5.51
Hi_10,200211,10.13
Hi_10,200212,-2
Hi_10,200301,-3.24
Hi_10,200302,-5.94
Hi_10,200303,0.68
Hi_10,200304,8.01
Hi_10,200305,11.91
Hi_10,200306,7.46
Hi_10,200307,3.13
Hi_10,200308,7.39
Hi_10,200309,1.92
Hi_10,200310,9.85
Hi_10,200311,6.01
Hi_10,200312,5.37
Hi_10,200401,6.94
Hi_10,200402,-0.1
Hi_10,200403,-1.08
Hi_10,200404,-6.17
Hi_10,200405,3.08
Hi_10,200406,5.57
Hi_10,200407,-2.11
Hi_10,200408,-1.17
Hi_10,200409,3.74
Hi_10,200410,0.29
Hi_10,200411,8.17
Hi_10,200412,4.89
Hi_10,200501,-0.77
Hi_10,200502,5.87
Hi_10,200503,-0.13
Hi_10,200504,-4.13
Hi_10,200505,5.78
Hi_10,200506,4.76
Hi_10,200507,5.51
Hi_10,200508,-1.89
Hi_10,200509,0.27
Hi_10,200510,-2.86
Hi_10,200511,2.24
Hi_10,200512,-0.15
Hi_10,200601,5.22
Hi_10,200602,-1.09
Hi_10,200603,3.2
Hi_10,200604,2.18
Hi_10,200605,-1.84
Hi_10,200606,0.94
Hi_10,200607,-1.74
Hi_10,200608,3.36
Hi_10,200609,2.18
Hi_10,200610,3.39
Hi_10,200611,1.55
Hi_10,200612,2.52
Hi_10,200701,3.09
Hi_10,200702,0.12
Hi_10,200703,1.07
